Title,Authors,Abstract,Date,DOI,Source
Peripheral Biomarkers of Tobacco-Use Disorder: A Systematic Review,"Newton, D. F.","IntroductionTobacco use disorder (TUD) is a major worldwide healthcare burden resulting in 7 million deaths annually. TUD has few approved cessation aids, all of which are associated a high rate of relapse within one year. Biomarkers of TUD severity, treatment response, and risk of relapse have high potential clinical utility to identify ideal responders and guide additional treatment resources.

MethodsA MEDLINE search was performed using the terms biomarkers, dihydroxyacetone phosphate, bilirubin, inositol, cotinine, adrenocorticotropic hormone, cortisol, pituitary-adrenal system, homovanillic acid, dopamine, pro-opiomelanocortin, lipids, lipid metabolism all cross-referenced with tobacco-use disorder.

ResultsThe search yielded 424 results, of which 57 met inclusion criteria. The most commonly studied biomarkers were those related to nicotine metabolism, the hypothalamic-pituitary-adrenal (HPA) axis, and cardiovascular (CVD) risk. Nicotine metabolism was most associated with severity of dependence and treatment response, where as HPA axis and CVD markers showed less robust associations with dependence and relapse risk.

ConclusionsNicotine-metabolite ratio, cortisol, and atherogenicity markers appear to be the most promising lead biomarkers for further investigation, though the body of literature is still preliminary. Longitudinal, repeated-measures studies are required to determine the directionality of the observed associations and determine true predictive power of these biomarkers. Future studies should also endeavour to study populations with comorbid psychiatric disorders to determine differences in utility of certain biomarkers.",2019-08-14,10.1101/19004150,medRxiv (Preprint)
Treatment advantage in HBV/HIV coinfection compared to HBV monoinfection in a South African cohort,"Maponga, T. G.; McNaughton, A. L.; Van Schalkwyk, M.; Hugo, S.; Nwankwo, C.; Taljaard, J.; Mokaya, J.; Smith, D. A.; van Vuuren, C.; Goedhals, D.; Gabriel, S.; Andersson, M. I.; Preiser, W.; van Rensburg, C.; Matthews, P. C.","ObjectivePrompted by international targets for elimination of hepatitis B virus (HBV) infection, we performed a cross-sectional observational study of adults with chronic HBV (CHB) infection in South Africa, characterising individuals with HBV monoinfection vs. those coinfected with HBV/HIV, to evaluate the impact of therapy and to guide improvements in clinical care as guidelines for antiviral therapy change over time.

DesignWe prospectively recruited 115 adults with CHB, over a period of one year at a university hospital in Cape Town, South Africa. HIV coinfection was present in 39 (34%) subjects. We recorded cross-sectional demographic, clinical and laboratory data.

ResultsAdults with HBV monoinfection were comparable to those with HBV/HIV coinfection in terms of age, sex and body mass. HBeAg-positive status was more common among those with HIV coinfection (p=0.01). However, compared to HBV/HIV coinfection, HBV monoinfected patients were less likely to have had assessment with elastography (p<0.0001) and less likely to be on antiviral treatment (p<0.0001). The HBV monoinfected group was more likely to have detectable HBV viraemia (p=0.04), and features suggesting underlying liver disease including moderate/severe thrombocytopaenia (p=0.007), elevated bilirubin (p=0.004), and APRI score >2 (p=0.02). Three cases of hepatocellular carcinoma were documented, all in patients with HBV monoinfection.

ConclusionIn this setting, individuals with HBV monoinfection are disadvantaged in terms of clinical assessment and appropriate antiviral therapy compared to those with HIV coinfection, associated with relatively worse liver health. Enhanced advocacy, education, resources and infrastructure are required to optimise interventions for CHB.",2019-10-02,10.1101/19007963,medRxiv (Preprint)
Treatment advantage in HBV/HIV coinfection compared to HBV monoinfection in a South African cohort,"Maponga, T. G.; McNaughton, A. L.; Van Schalkwyk, M.; Hugo, S.; Nwankwo, C.; Taljaard, J.; Mokaya, J.; Smith, D. A.; van Vuuren, C.; Goedhals, D.; Gabriel, S.; Andersson, M. I.; Preiser, W.; van Rensburg, C.; Matthews, P. C.","ObjectivePrompted by international targets for elimination of hepatitis B virus (HBV) infection, we performed a cross-sectional observational study of adults with chronic HBV (CHB) infection in South Africa, characterising individuals with HBV monoinfection vs. those coinfected with HBV/HIV, to evaluate the impact of therapy and to guide improvements in clinical care as guidelines for antiviral therapy change over time.

DesignWe prospectively recruited 115 adults with CHB, over a period of one year at a university hospital in Cape Town, South Africa. HIV coinfection was present in 39 (34%) subjects. We recorded cross-sectional demographic, clinical and laboratory data.

ResultsAdults with HBV monoinfection were comparable to those with HBV/HIV coinfection in terms of age, sex and body mass. HBeAg-positive status was more common among those with HIV coinfection (p=0.01). However, compared to HBV/HIV coinfection, HBV monoinfected patients were less likely to have had assessment with elastography (p<0.0001) and less likely to be on antiviral treatment (p<0.0001). The HBV monoinfected group was more likely to have detectable HBV viraemia (p=0.04), and features suggesting underlying liver disease including moderate/severe thrombocytopaenia (p=0.007), elevated bilirubin (p=0.004), and APRI score >2 (p=0.02). Three cases of hepatocellular carcinoma were documented, all in patients with HBV monoinfection.

ConclusionIn this setting, individuals with HBV monoinfection are disadvantaged in terms of clinical assessment and appropriate antiviral therapy compared to those with HIV coinfection, associated with relatively worse liver health. Enhanced advocacy, education, resources and infrastructure are required to optimise interventions for CHB.",2019-12-19,10.1101/19007963,medRxiv (Preprint)
Therapeutic use of blood products for the treatment of autoimmune hemolytic anemia: A network meta-analysis protocol,"Deng, J.","Autoimmune hemolytic anemia is a rare blood disorder that can result in anemic hypoxia. Currently, red blood cell (RBC) transfusion is the only effective method of treating this condition. We propose a network meta-analysis that investigates whether the use of different types of blood products (e.g. suspended RBC, leukoreduced RBC, washed RBC, etc.) can decrease adverse events, increase the rate of remission and improve lab results, including hemoglobin, RBC, reticulocyte counts, hematocrit and total bilirubin.",2020-01-21,10.1101/2020.01.15.20017657,medRxiv (Preprint)
A comparison of treatment regimens for autoimmune hemolytic anemia: A network meta-analysis protocol,"Deng, J.","Autoimmune hemolytic anemia (AIHA) is a rare blood disorder that result in the hemolysis of red blood cells (RBCs) due to the presence of autoantibodies in the serum. There are a variety of treatment regimens available for AIHA, including glucocorticoids, monoclonal antibody rituximab and splenectomy. We propose a network meta-analysis that investigates whether the use of different regimens can decrease adverse events, increase remission rate and improve lab results, including hemoglobin, RBC, reticulocyte counts, hematocrit and total bilirubin.",2020-02-04,10.1101/2020.01.31.20019968,medRxiv (Preprint)
Efficacy of therapeutic plasma exchange for the treatment of autoimmune hemolytic anemia: Protocol for a meta-analysis of randomized controlled trials,"Deng, J.","Autoimmune hemolytic anemia (AIHA) is a rare blood disorder that results in hemolysis of red blood cells (RBCs) due to the presence of autoantibodies in the serum. Previous research has shown that the use of therapeutic plasma exchange therapy (TPE) may be effective at treating AIHA by removing autoimmune antibodies from the intravascular space. However, very little knowledge synthesis is available on the use of TPE in AIHA patients due to the rarity of the disease. We propose a meta-analysis that investigates whether the use of TPE, with or without concurrent treatment regimens, can decrease adverse events, increase remission rate and improve lab results including hemoglobin, RBC, reticulocyte counts, hematocrit and total bilirubin.",2020-02-06,10.1101/2020.02.03.20020214,medRxiv (Preprint)
Analysis on the Clinical Characteristics of 36 Cases of Novel Coronavirus Pneumonia in Kunming,"Fu, H.; Li, H.; Tang, X.; Li, X.; Shen, J.; Zhou, Y.; Xu, B.; Luo, Y.","ObjectiveTo analyze the clinical characteristics of patients with novel coronavirus pneumonia in Kunming City, and to study the correlation between nutritional status and immune function.

MethodsClinical data of 36 patients with novel coronavirus pneumonia in isolation area of Kunming Third Peoples Hospital from January 31 to February 15, 2020 were collected, and the basic situation, clinical characteristics, laboratory examination and CT imaging characteristics were analyzed. Serum albumin (ALB), prealbumin (PAB), hypersensitive c-reactive protein (hs-crp), CD3T cells, CD4T cells, CD8T cells and normal control group were analyzed. A simple linear regression analysis of the relationship between proalbumin and T cell subpopulation counts in the blood of patients.

Results(1) The patients with new coronavirus pneumonia in Kunming were mainly of common type. (2) 50% of the patients first symptoms were fever and cough; (3) The total number of white blood cells in peripheral blood was normal or decreased in 23 cases (79%), and the lymphocyte count decreased in 5 cases (13.89%), without anemia. Hypersensitive c-reactive protein increased in 19 (52.78%) cases, and procalcitonin increased in 1 case. Albumin decreased in 5 cases (13.89%), proalbumin decreased in 15 cases (41.67%), alanine transaminase increased slightly in 4 cases (11.11%), alanine transaminase increased slightly in 4 cases (11.11%), total bilirubin increased slightly in 11 cases (30.56%), and renal function and blood coagulation were normal. Absolute value of CD3+T cells is with a decrease in 21 cases (58.3%), CD4+T in 28 cases (77.8%), CD8+T in 17 cases (47.2%), and CD4+/ CD8+ inverse in 6 cases (16.7%). (4) The prealbumin, CD3 T cells, CD4 T cells and CD8 T cells in the new coronavirus pneumonia group were significantly lower than those in the normal control group, and the hypersensitive c-reactive protein was higher than that in the normal control group. (5) The levels of PAB in the serum of the patients were linearly correlated with hs-crp, CD3 T cells, CD4 T cells and CD8 T cells, and the correlation coefficients were -0.474, 0.558, 0.467 and 0.613, respectively, showing statistical differences.

ConclusionThe clinical characteristics of the novel coronavirus pneumonia in Kunming are different from those in Wuhan. The changes of serum proalbumin and T cell subsets are relatively obvious. Changes in serum proalbumin may contribute to the early warning of novel coronavirus pneumonia. The nutritional status of patients with common and mild pneumonia should be considered.",2020-03-01,10.1101/2020.02.28.20029173,medRxiv (Preprint)
"A Tool to Early Predict Severe 2019-Novel Coronavirus Pneumonia (COVID-19) : A Multicenter Study using the Risk Nomogram in Wuhan and Guangdong, China","Gong, J.; Ou, J.; Qiu, X.; Jie, Y.; Chen, Y.; Yuan, L.; Cao, J.; Tan, M.; Xu, W.; Zheng, F.; Shi, Y.; Hu, B.","BackgroundDue to no reliable risk stratification tool for severe corona virus disease 2019 (COVID-19) patients at admission, we aimed to construct an effective model for early identifying cases at high risk of progression to severe COVID-19.

MethodsIn this retrospective three-centers study, 372 non-severe COVID-19 patients during hospitalization were followed for more than 15 days after admission. Patients who deteriorated to severe or critical COVID-19 and patients who kept non-severe state were assigned to the severe and non-severe group, respectively. Based on baseline data of the two groups, we constructed a risk prediction nomogram for severe COVID-19 and evaluate its performance.

ResultsThe train cohort consisted of 189 patients, while the two independent validation cohorts consisted of 165 and 18 patients. Among all cases, 72 (19.35%) patients developed severe COVID-19. We found that old age, and higher serum lactate dehydrogenase, C-reactive protein, the coefficient of variation of red blood cell distribution width, blood urea nitrogen, direct bilirubin, lower albumin, are associated with severe COVID-19. We generated the nomogram for early identifying severe COVID-19 in the train cohort (AUC 0.912 [95% CI 0.846-0.978], sensitivity 85.71%, specificity 87.58%); in validation cohort (0.853 [0.790-0.916], 77.5%, 78.4%). The calibration curve for probability of severe COVID-19 showed optimal agreement between prediction by nomogram and actual observation. Decision curve and clinical impact curve analysis indicated that nomogram conferred high clinical net benefit.

ConclusionOur nomogram could help clinicians to early identify patients who will exacerbate to severe COVID-19, which will enable better centralized management and early treatment of severe patients.

SummaryOlder age; higher LDH, CRP, RDW, DBIL, BUN; lower ALB on admission correlated with higher odds of severe COVID-19. An effective prognostic nomogram composed of 7 features could allow early identification of patients at risk of exacerbation to severe COVID-19.",2020-03-20,10.1101/2020.03.17.20037515,medRxiv (Preprint)
"Characteristics of patients with COVID-19 during epidemic ongoing outbreak in Wuhan, China","Luo, X.; Xia, H.; Yang, W.; Wang, B.; Guo, T.; Xiong, J.; Jiang, Z.; Liu, Y.; Yan, X.; Zhou, W.; Ye, L.; Zhang, B.","BackgroundSince Dec 2019, SARS-CoV-2 has caused about fifty thousand patients and over two thousand deaths in Wuhan, China. We reported characteristics of patients with COVID-19 during epidemic ongoing outbreak in Wuhan.

MethodsData of COVID-19 patients with clinical outcome in a designated hospital in Wuhan, were retrospectively collected from electronic medical records. Characteristics were compared between patients who died or recovered, and between patients with different disease severity.

ResultsBy Feb 25, 2020, 403 patients were enrolled, 100 died and 303 recovered. Most of non-survivors tended to be males, old aged, or with chronic diseases. Duration from illness onset to admission was 9 (7-12) days. Patients with severe or critical illness had more days from onset to admission compared to those with ordinary illness. Lymphopenia, anemia, hypoproteinemia, and abnormal serum sodium were presented in 52.6%, 54.6%, 69.8%, and 21.8% cases, respectively. Patients who died or with severe/critical illness showed increased white blood cell and neutrophil count, serum total bilirubin, creatinine, hypersensitive troponin I, D-dimer, procalcitonin, and C-reactive protein, and decreased red blood cell, lymphocyte, platelet count, and serum albumin on admission compared to those who recovered or with ordinary illness. Complications of acute organ injury and secondary infection were common in patients with COVID-19, especially in non-survivors.

ConclusionsMultiple homeostasis disturbances were common in patients with severe or critical illness at admission. Early support should be provided, especially for old men with chronic disease, which is vital to control disease progression and reduce mortality of COVID-19 during epidemic ongoing outbreak.",2020-03-23,10.1101/2020.03.19.20033175,medRxiv (Preprint)
Potential biochemical markers to identify severe cases among COVID-19 patients,"XIANG, J.; WEN, J.; YUAN, X.; Xiong, S.; ZHOU, X.; LIU, C.; MIN, X.","There is a high mortality and long hospitalization period for severe cases with 2019 novel coronavirus disease (COVID-19) pneumonia. Therefore, it makes sense to search for a potential biomarker that could rapidly and effectively identify severe cases early. Clinical samples from 28 cases of COVID-19 (8 severe cases, 20 mild cases) in Zunyi District from January 29, 2020 to February 21, 2020 were collected and otherwise statistically analysed for biochemical markers. Serum urea, creatinine (CREA) and cystatin C (CysC) concentrations in severe COVID-19 patients were significantly higher than those in mild COVID-19 patients (P<0.001), and there were also significant differences in serum direct bilirubin (DBIL), cholinesterase (CHE) and lactate dehydrogenase (LDH) concentrations between severe and mild COVID-19 patients (P<0.05). Serum urea, CREA, CysC, DBIL, CHE and LDH could be used to distinguish severe COVID-19 cases from mild COVID-19 cases. In particular, serum biomarkers, including urea, CREA, CysC, which reflect glomerular filtration function, may have some significance as potential indicators for the early diagnosis of severe COVID-19 and to distinguish it from mild COVID-19. Glomerular filtration function injury in severe COVID-19 patients should also be considered by clinicians.",2020-03-23,10.1101/2020.03.19.20034447,medRxiv (Preprint)
